                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3952,                 3.8378,                 1.0001,                 0.0123,                0.24118,                0.11989,                0.05178,                 1.5722,                 3.9752,                 1.0094,              0.0001125,              0.0001125,              0.0001125
                      2,                 1.3492,                 2.9396,                0.95185,                0.01106,                0.21632,                0.09297,                0.02231,                 1.5575,                 3.9671,                0.99794,             0.00023515,             0.00023515,             0.00023515
                      3,                 1.3099,                 2.0667,                0.96164,                0.01639,                0.42314,                0.15859,                0.06588,                 1.3408,                 3.7067,                0.92478,             0.00035532,             0.00035532,             0.00035532
                      4,                 1.2956,                   1.52,                 0.9508,                0.01482,                0.40571,                0.11735,                0.04697,                 1.1855,                 3.5695,                0.90886,             0.00047302,             0.00047302,             0.00047302
                      5,                 1.3052,                 1.3469,                0.96972,                 0.0195,                0.40722,                0.15276,                0.07085,                 1.1708,                 3.4365,                0.92093,             0.00058824,             0.00058824,             0.00058824
                      6,                 1.2522,                 1.2385,                0.96978,                0.02544,                0.35299,                0.20659,                  0.095,                 1.2803,                 3.1297,                0.94229,             0.00070099,             0.00070099,             0.00070099
                      7,                 1.2931,                 1.2139,                0.94944,                0.72163,                0.18701,                0.23836,                0.14402,                 1.1934,                 2.6968,                0.92742,             0.00081127,             0.00081127,             0.00081127
                      8,                 1.2493,                 1.1191,                0.92597,                0.72841,                0.16071,                0.25023,                0.16021,                 1.1978,                 2.3231,                0.94448,             0.00091907,             0.00091907,             0.00091907
                      9,                 1.1925,                 1.1524,                0.94597,                0.79705,                 0.2256,                0.25719,                0.14597,                 1.2237,                 1.9648,                0.95488,              0.0010244,              0.0010244,              0.0010244
                     10,                  1.174,                 1.1063,                0.92665,                 0.7701,                0.24635,                0.26986,                0.17601,                 1.1734,                 1.6639,                0.93282,              0.0011272,              0.0011272,              0.0011272
                     11,                 1.1667,                 1.0694,                0.91183,                0.82229,                0.25259,                0.28218,                0.17499,                 1.1181,                 1.5447,                0.95623,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.1615,                 1.0832,                0.91763,                0.89238,                0.26703,                0.34005,                0.22822,                 1.0278,                 1.4894,                 0.9213,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.1616,                 1.0582,                0.93047,                0.91935,                0.31188,                0.37228,                0.25031,                 1.0133,                 1.2575,                0.91668,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.1201,                 1.0094,                 0.9056,                  0.893,                0.38576,                 0.4203,                0.28248,                0.95952,                 1.1246,                 0.9118,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1143,                 0.9403,                0.89948,                0.93016,                0.43344,                0.46148,                0.30519,                0.97154,                  1.038,                0.90849,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.0459,                 0.8924,                0.89344,                0.94462,                0.44359,                0.46435,                 0.3057,                0.96052,                0.91529,                0.91501,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.0664,                0.86676,                0.89025,                0.97058,                 0.4331,                 0.4735,                0.31594,                0.96977,                0.81551,                0.90812,               0.001052,               0.001052,               0.001052
                     18,                 1.0531,                0.84528,                0.88918,                0.87282,                0.51115,                0.57975,                0.35411,                0.95546,                0.82433,                0.91142,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.0732,                0.82359,                0.91208,                  0.923,                0.55507,                0.60822,                 0.3899,                  0.941,                0.80552,                0.90262,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.0944,                0.82251,                 0.8918,                0.92598,                0.55569,                0.60935,                0.37743,                0.99468,                0.79261,                  0.915,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.0679,                0.80567,                0.89763,                0.94246,                0.56975,                0.67744,                0.43858,                0.85727,                0.74721,                0.89895,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.0769,                0.78136,                0.88016,                0.85864,                0.57402,                0.65594,                0.38623,                0.97953,                0.79291,                 0.9152,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.0647,                  0.782,                 0.8892,                0.88908,                 0.5611,                 0.6546,                0.40809,                0.90893,                0.77568,                0.91143,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.0215,                0.76602,                0.89274,                 0.9763,                0.55716,                0.69027,                 0.4425,                0.90795,                0.73034,                0.90712,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.0165,                0.74917,                0.88366,                0.93603,                0.65868,                0.72832,                 0.4751,                0.91679,                0.72488,                 0.9115,               0.000953,               0.000953,               0.000953
