                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.477,                 3.7544,                 1.0125,                0.06129,                0.22151,                0.08569,                 0.0314,                 1.6172,                 4.0489,                 1.0051,              0.0001125,              0.0001125,              0.0001125
                      2,                  1.425,                 2.9315,                0.94364,                0.03261,                0.26174,                0.10464,                0.03061,                 1.6137,                 3.9876,                 1.0007,             0.00023515,             0.00023515,             0.00023515
                      3,                 1.3704,                 2.1298,                0.93225,                0.02949,                0.29443,                 0.1283,                 0.0527,                 1.2777,                 3.9223,                 0.9104,             0.00035532,             0.00035532,             0.00035532
                      4,                 1.3256,                 1.5754,                0.91765,                0.02631,                0.28522,                0.14027,                 0.0619,                 1.1757,                 3.8773,                0.90444,             0.00047302,             0.00047302,             0.00047302
                      5,                 1.3268,                 1.3189,                0.93927,                0.01931,                0.19884,                0.07309,                0.02167,                 1.2212,                 3.8766,                0.91506,             0.00058824,             0.00058824,             0.00058824
                      6,                 1.2096,                 1.1908,                0.93974,                0.01717,                0.21616,                0.07096,                0.02087,                 1.1238,                  3.805,                0.93156,             0.00070099,             0.00070099,             0.00070099
                      7,                 1.2583,                 1.1824,                0.92163,                0.01604,                0.23187,                 0.0711,                0.02559,                 1.0786,                 3.6312,                0.91863,             0.00081127,             0.00081127,             0.00081127
                      8,                 1.2944,                 1.1067,                0.91685,                0.02207,                0.31583,                 0.1282,                0.06759,                 1.2196,                 3.4412,                0.95352,             0.00091907,             0.00091907,             0.00091907
                      9,                 1.2256,                 1.1319,                0.93574,                0.02215,                0.40899,                0.19483,                0.13181,                 1.0387,                 3.1508,                0.90976,              0.0010244,              0.0010244,              0.0010244
                     10,                 1.1967,                 1.0831,                0.91659,                0.02462,                0.53327,                0.35842,                0.22268,                 1.1618,                 2.6128,                0.93577,              0.0011272,              0.0011272,              0.0011272
                     11,                 1.2169,                 1.0104,                0.91099,                0.98135,                0.19421,                0.40248,                 0.2638,                 1.0055,                 2.2772,                0.91785,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.1738,                 1.0207,                 0.9119,                0.97627,                0.23163,                0.43253,                0.26316,                 1.0983,                 2.1992,                0.91189,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.1457,                0.99531,                0.91815,                0.96995,                0.37671,                0.43814,                0.28935,                0.95513,                 1.8416,                  0.906,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.0966,                0.94146,                0.90081,                0.96565,                0.41708,                0.44511,                0.30816,                0.90269,                 1.2724,                0.90382,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1021,                0.90034,                 0.8945,                0.95139,                0.41124,                 0.4429,                0.27829,                 1.1009,                 1.2517,                0.91586,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.0691,                0.89162,                0.89053,                0.95987,                 0.4345,                 0.4579,                0.31883,                0.89962,                  1.079,                0.90287,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.0705,                0.87166,                0.88326,                0.96479,                0.44319,                0.46262,                0.29599,                   1.05,                0.88443,                0.90975,               0.001052,               0.001052,               0.001052
                     18,                 1.0657,                0.85087,                0.88668,                0.96805,                0.44948,                0.46746,                0.31874,                0.90809,                0.80711,                0.90556,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.1092,                0.83084,                0.90896,                0.96444,                0.46301,                0.47899,                0.29943,                 1.0994,                0.81195,                0.91999,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.1767,                0.86047,                0.89305,                0.95971,                0.45389,                0.47765,                0.31349,                0.91249,                0.81068,                0.90525,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.0908,                0.85093,                0.89509,                0.97288,                0.45357,                0.48383,                0.32564,                0.89229,                0.77377,                 0.9014,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.1054,                0.83079,                0.87791,                0.96009,                0.44256,                0.47583,                0.31525,                0.98511,                0.79437,                0.91084,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.0843,                0.80287,                0.89128,                0.96205,                 0.4512,                0.49315,                0.33349,                0.89081,                0.76612,                0.89649,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.0823,                0.81157,                0.89604,                0.96636,                0.44171,                0.49718,                0.32057,                0.96962,                0.76923,                0.90275,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.0414,                0.78049,                0.87882,                0.97035,                0.45153,                0.50767,                0.34719,                0.82351,                0.74473,                0.89249,               0.000953,               0.000953,               0.000953
                     26,                 1.0109,                0.79899,                0.88671,                 0.9771,                0.44718,                0.55109,                  0.349,                0.99346,                0.73769,                0.90548,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.0073,                0.75564,                0.88228,                0.77736,                0.47667,                0.59065,                0.40413,                 0.8313,                0.70899,                0.88975,             0.00092825,             0.00092825,             0.00092825
                     28,                0.99541,                0.74408,                0.89006,                0.67444,                0.52053,                0.59901,                0.38366,                0.96727,                0.72624,                 0.9038,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.0725,                0.77093,                0.90188,                0.59388,                0.52598,                 0.6138,                0.40204,                0.84731,                0.70381,                0.90076,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.0203,                0.74698,                0.88053,                0.69257,                0.59311,                0.70102,                0.44061,                0.95697,                 0.7193,                0.90105,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.0342,                0.73215,                0.89151,                0.76408,                0.71162,                0.75846,                0.51656,                 0.9439,                0.71867,                0.91116,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.0539,                0.74907,                0.89107,                0.79004,                0.70523,                0.76515,                0.49666,                 0.8516,                0.68349,                0.91267,             0.00086637,             0.00086637,             0.00086637
                     33,                 1.0399,                0.72508,                0.88011,                 0.8247,                0.69196,                0.74232,                0.44939,                 0.9833,                0.69899,                0.89832,               0.000854,               0.000854,               0.000854
                     34,                 1.0287,                0.72507,                0.89663,                0.82849,                0.68758,                0.72803,                0.47004,                0.85565,                0.71218,                0.89187,             0.00084162,             0.00084162,             0.00084162
                     35,                0.99133,                0.73392,                0.89453,                0.82716,                0.69965,                0.74196,                 0.4954,                0.92829,                0.71469,                0.89965,             0.00082925,             0.00082925,             0.00082925
                     36,                0.98017,                0.71006,                0.88905,                0.83745,                 0.6997,                0.75909,                0.51048,                0.81615,                0.65545,                0.88963,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.0341,                0.71311,                 0.8949,                0.79562,                0.70752,                0.74774,                0.46827,                0.96918,                 0.7226,                 0.9016,              0.0008045,              0.0008045,              0.0008045
                     38,                0.98342,                0.69428,                0.87931,                0.83319,                0.69506,                0.72483,                0.47688,                0.90428,                0.70101,                0.89583,             0.00079213,             0.00079213,             0.00079213
                     39,                0.95114,                0.68467,                 0.8758,                0.83057,                0.72911,                0.75178,                0.48346,                0.86503,                0.65249,                0.88596,             0.00077975,             0.00077975,             0.00077975
                     40,                0.97739,                0.67369,                0.88122,                0.83277,                0.73152,                0.75841,                0.51692,                0.79804,                0.65304,                0.88507,             0.00076738,             0.00076738,             0.00076738
                     41,                0.90284,                0.65576,                0.86538,                0.86285,                0.71313,                0.75059,                0.51001,                0.85705,                0.65687,                0.88799,               0.000755,               0.000755,               0.000755
                     42,                0.91694,                0.67366,                0.87011,                0.80598,                0.75788,                0.76523,                 0.4999,                0.85788,                0.68511,                0.88489,             0.00074263,             0.00074263,             0.00074263
                     43,                0.99173,                0.70226,                0.86801,                0.86082,                0.73892,                0.76968,                0.50162,                0.91613,                0.67487,                0.88838,             0.00073025,             0.00073025,             0.00073025
                     44,                0.95611,                0.67922,                0.86976,                0.74032,                0.78513,                0.75834,                0.49575,                0.79635,                0.66119,                 0.8828,             0.00071788,             0.00071788,             0.00071788
                     45,                0.91365,                0.64091,                0.86457,                0.83454,                0.74666,                0.75194,                0.48628,                0.82274,                0.63534,                0.88269,              0.0007055,              0.0007055,              0.0007055
                     46,                0.95447,                0.65306,                0.86695,                0.81303,                0.74976,                0.77191,                0.50776,                0.79538,                0.62723,                0.88141,             0.00069313,             0.00069313,             0.00069313
                     47,                0.90102,                0.62478,                0.86296,                0.87362,                0.75462,                0.76658,                0.50497,                0.80628,                0.62548,                0.87753,             0.00068075,             0.00068075,             0.00068075
                     48,                0.95914,                 0.6575,                0.87208,                0.79327,                0.75645,                0.75939,                0.51759,                0.78106,                0.62521,                  0.879,             0.00066838,             0.00066838,             0.00066838
                     49,                0.91823,                0.63724,                0.86224,                0.88566,                0.72013,                0.76008,                0.51323,                0.81923,                  0.621,                0.87977,               0.000656,               0.000656,               0.000656
                     50,                0.91896,                0.65337,                0.87031,                0.84133,                0.70563,                0.74594,                0.49717,                0.82935,                0.63548,                0.88426,             0.00064362,             0.00064362,             0.00064362
                     51,                0.96609,                0.65021,                0.87378,                0.85655,                0.69281,                0.74054,                0.46718,                0.90826,                  0.654,                0.88059,             0.00063125,             0.00063125,             0.00063125
                     52,                0.92994,                0.62131,                0.86098,                0.84121,                 0.6959,                0.74628,                 0.4985,                0.78887,                0.61281,                 0.8741,             0.00061887,             0.00061887,             0.00061887
                     53,                0.92653,                0.61852,                0.86265,                0.78549,                0.75589,                 0.7558,                0.50154,                0.84202,                0.62635,                 0.8781,              0.0006065,              0.0006065,              0.0006065
                     54,                0.88946,                0.65112,                0.87278,                0.85328,                0.75619,                0.75334,                0.51623,                0.77587,                0.59701,                0.87092,             0.00059413,             0.00059413,             0.00059413
                     55,                0.88329,                0.60688,                 0.8649,                0.79418,                0.77418,                0.75428,                0.49023,                0.90601,                0.63506,                0.87785,             0.00058175,             0.00058175,             0.00058175
                     56,                0.92332,                0.63077,                0.87796,                0.84506,                0.73622,                0.76037,                0.52722,                0.76574,                0.60229,                0.87297,             0.00056938,             0.00056938,             0.00056938
                     57,                0.88057,                0.59954,                0.85894,                0.79592,                0.76079,                0.74522,                0.50469,                0.86207,                0.60834,                0.87738,               0.000557,               0.000557,               0.000557
                     58,                0.95896,                0.61768,                0.85274,                 0.7976,                 0.7797,                0.75804,                0.54004,                0.73862,                0.58164,                0.87219,             0.00054463,             0.00054463,             0.00054463
                     59,                0.88651,                0.59665,                0.85923,                0.78305,                0.80242,                0.75954,                0.53417,                0.76728,                0.58506,                 0.8745,             0.00053225,             0.00053225,             0.00053225
                     60,                0.87374,                 0.6135,                0.86995,                0.81816,                0.75566,                0.75487,                0.52524,                0.79108,                0.60218,                0.87907,             0.00051988,             0.00051988,             0.00051988
                     61,                0.88851,                0.59011,                0.86298,                0.80283,                0.74891,                0.76162,                0.53287,                0.76309,                0.59419,                0.87013,              0.0005075,              0.0005075,              0.0005075
