                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3326,                 3.8633,                 3.0807,                0.02898,                 0.3654,                0.10988,                0.04731,                 1.4407,                 3.9639,                 2.2936,                0.00015,                0.00015,                0.00015
                      2,                 1.5651,                 3.1287,                 2.4177,                0.02162,                0.39014,                0.14335,                0.05261,                 1.5338,                 4.0156,                 2.3809,             0.00030941,             0.00030941,             0.00030941
                      3,                 1.4588,                 2.3355,                 2.1974,                0.02303,                0.45129,                0.17355,                0.07745,                 1.3176,                 3.8077,                 2.1558,              0.0004656,              0.0004656,              0.0004656
                      4,                 1.3278,                 1.5023,                 2.0928,                0.02738,                0.57275,                0.16192,                0.07947,                 1.2128,                 3.5522,                 2.0681,             0.00061857,             0.00061857,             0.00061857
                      5,                 1.1964,                   1.28,                 2.1621,                0.02973,                0.60524,                0.15454,                0.08591,                 1.1413,                 3.2551,                 2.0232,             0.00076832,             0.00076832,             0.00076832
                      6,                 1.2586,                 1.2165,                 2.1854,                0.03154,                 0.6058,                0.20429,                0.11771,                 1.2107,                 2.8582,                   2.08,             0.00091486,             0.00091486,             0.00091486
                      7,                 1.1577,                 1.1644,                 2.1465,                0.73309,                0.25079,                0.25331,                0.17279,                  1.065,                 2.3296,                 1.9245,              0.0010582,              0.0010582,              0.0010582
                      8,                 1.0958,                 1.1131,                 2.1487,                0.74318,                0.24102,                0.24931,                0.17432,                 1.0378,                 1.7833,                 1.9983,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.1001,                 1.0621,                 2.0791,                0.73382,                0.23123,                0.23809,                0.17475,                 0.9525,                 1.4772,                 1.9291,               0.001151,               0.001151,               0.001151
                     10,                 1.0389,                 1.0539,                 2.1413,                0.74588,                0.24358,                0.24098,                0.17155,                0.94324,                 1.2991,                 1.9263,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.0214,                 1.0301,                 2.1104,                0.74922,                0.25395,                0.23989,                0.17368,                0.95338,                 1.1229,                 1.9819,              0.0011263,              0.0011263,              0.0011263
                     12,                0.96232,                0.96342,                 2.0979,                0.75639,                0.25914,                0.26065,                 0.1891,                 0.9191,                0.98396,                  1.939,              0.0011139,              0.0011139,              0.0011139
                     13,                0.98544,                0.96413,                 2.0636,                0.77341,                0.27851,                0.29677,                0.21396,                0.88062,                0.96003,                  1.966,              0.0011015,              0.0011015,              0.0011015
                     14,                 0.9621,                0.93595,                 2.1003,                0.79897,                0.29885,                0.33923,                0.24062,                0.82762,                0.90946,                  1.936,              0.0010891,              0.0010891,              0.0010891
                     15,                0.93636,                0.91922,                 2.0527,                0.82234,                0.30724,                0.36767,                0.24908,                0.87344,                0.87353,                 1.9085,              0.0010768,              0.0010768,              0.0010768
                     16,                0.92439,                0.90129,                   2.02,                 0.9064,                 0.3269,                0.47358,                0.31349,                 0.8729,                0.84481,                 1.8884,              0.0010644,              0.0010644,              0.0010644
                     17,                0.91404,                 0.8598,                 2.0543,                0.71721,                0.39942,                 0.5023,                 0.3268,                0.87715,                0.83682,                 1.9476,               0.001052,               0.001052,               0.001052
                     18,                0.91051,                0.84581,                 2.0158,                0.82681,                0.46707,                0.55373,                0.37235,                0.77757,                0.78345,                  1.919,              0.0010396,              0.0010396,              0.0010396
                     19,                0.93093,                 0.8178,                  2.042,                0.76749,                0.52693,                0.58891,                 0.3966,                0.81031,                0.76225,                 1.8912,              0.0010273,              0.0010273,              0.0010273
                     20,                0.91165,                0.81653,                 2.0058,                0.70819,                0.53844,                 0.5978,                0.39297,                0.79802,                 0.7507,                 1.8976,              0.0010149,              0.0010149,              0.0010149
                     21,                0.91531,                 0.7901,                 2.0083,                0.67347,                0.55607,                0.62064,                0.41613,                0.80511,                 0.7405,                 1.8883,              0.0010025,              0.0010025,              0.0010025
                     22,                0.86504,                0.75285,                 2.0282,                0.77991,                0.57868,                0.65223,                0.43411,                0.78027,                0.70092,                 1.8876,             0.00099013,             0.00099013,             0.00099013
                     23,                0.85621,                0.75265,                 2.0148,                0.79986,                0.62131,                0.68679,                0.46221,                0.78377,                0.70648,                 1.8819,             0.00097775,             0.00097775,             0.00097775
                     24,                0.85939,                0.74625,                 2.0806,                0.88943,                0.63268,                0.71854,                0.48303,                0.80107,                0.69282,                  1.885,             0.00096537,             0.00096537,             0.00096537
                     25,                0.82709,                0.70971,                 2.0474,                 0.8355,                0.68285,                 0.7465,                0.50935,                0.73549,                0.66283,                 1.8922,               0.000953,               0.000953,               0.000953
                     26,                0.81739,                0.70395,                 1.9944,                0.81602,                0.69917,                0.76513,                0.50976,                0.75732,                0.66019,                 1.8642,             0.00094062,             0.00094062,             0.00094062
                     27,                0.83233,                0.71917,                  1.965,                0.88028,                0.66115,                0.75996,                0.51966,                0.81592,                 0.6946,                 1.8841,             0.00092825,             0.00092825,             0.00092825
                     28,                0.80586,                0.69672,                 1.9973,                 0.7832,                0.73976,                0.79068,                0.52686,                0.71207,                0.63216,                 1.8848,             0.00091588,             0.00091588,             0.00091588
                     29,                0.82525,                 0.6987,                 2.0083,                0.79725,                0.77255,                 0.8129,                0.55933,                 0.7261,                0.63385,                 1.8801,              0.0009035,              0.0009035,              0.0009035
                     30,                0.80436,                0.67531,                 2.0331,                0.88278,                0.76444,                0.82641,                0.56691,                0.75892,                0.62164,                 1.8616,             0.00089112,             0.00089112,             0.00089112
                     31,                0.80526,                0.67876,                 1.9975,                0.87076,                0.78402,                 0.8285,                 0.5659,                0.72419,                0.62134,                 1.8967,             0.00087875,             0.00087875,             0.00087875
                     32,                0.82205,                0.66747,                 2.0007,                0.86565,                0.79264,                0.83332,                0.56944,                 0.7391,                 0.6266,                 1.8884,             0.00086637,             0.00086637,             0.00086637
                     33,                0.80432,                0.66809,                 1.9718,                0.84532,                0.82503,                0.82343,                0.56268,                0.79962,                 0.6303,                 1.8496,               0.000854,               0.000854,               0.000854
                     34,                0.80277,                0.66342,                 1.9583,                0.83999,                0.79326,                0.81633,                0.55735,                0.70316,                0.60961,                 1.9048,             0.00084162,             0.00084162,             0.00084162
                     35,                0.77474,                0.64654,                 1.9672,                0.85694,                0.81049,                0.82195,                0.58307,                0.71312,                0.61007,                 1.8623,             0.00082925,             0.00082925,             0.00082925
                     36,                0.77974,                0.63189,                 1.9656,                0.86436,                0.82298,                0.82632,                0.58382,                 0.7352,                0.58893,                 1.8719,             0.00081688,             0.00081688,             0.00081688
                     37,                0.76647,                0.62143,                 1.9909,                0.87694,                0.82875,                0.83603,                0.58632,                0.76055,                0.60834,                 1.8686,              0.0008045,              0.0008045,              0.0008045
                     38,                0.77188,                0.61517,                  1.967,                0.91828,                0.81402,                0.83787,                0.58404,                0.73026,                0.59384,                 1.8474,             0.00079213,             0.00079213,             0.00079213
